id;description;dbo
1357;Eigentlich guter Artikel. Fr. Prof. Ciesek, ist dennoch ein SCHLECHTER Mensch! Wieso? Weil Sie sehr intelligent ist und die folgen unseres Handels sehen müsste, dennoch unterstützt Sie eine Politik die Weltweit Kinder tötet! Mehr BÖSARTIGKEIT geht nicht!;nothing
1012271368811286;Leider ist es so , das man vor einem Jahr darüber gelacht hat,  was sich irgendwelche Dummköpfe ausgedacht haben, heute ist es häufig grausame Realität.;nothing
882035915168166;Bestimmt ein Tippfehler :D;nothing
951534568218300;Wir schreiben noch das Jahr 2015, bis zum Herbst 2017 ist es noch ein langer Weg.;nothing
1096075280430894;haben die dort keine Wasserwerfer ?;nothing
881988231839601;Sehr gut, einfach konsequent!;nothing
855187737852984;Ja, hast recht, aber alles fängt klein an und nur auf Fleisch verzichten hilft nicht die Bedingungen in den Schweineställen zu verbessern, das führt nur zu noch härterem Wettbewerb und noch schlimmeren Zuständen. Demokratie ist gut, aber zu wenig Staat lässt Menschen zu Tieren werden. Wir benötigen einen Staat der offen und ehrlich Probleme auch beim Namen nennt und nicht geheim irgendwo irgendwas verhandelt. Der Staat der Geheimnisse hat ist unehrlich, undemokratisch und nicht haltbar! Erst wenn man sieht wer was gemacht hat wird man sehen was man tun kann um die Zustände zu verbessern. Es müssen also zunächst die Karten umgedreht werden.;criticism
1337;Als Muhammad mit den Affen gefiggt hat wurden die Türken gezeugt;nothing
882678898437201;ach du Scheiße der arme Facharbeiter ................ wer war das sofort bei der Polizei melden sofort;nothing
857864420918649;hast du die ansprache unseres präsidenten nicht gehört ?;nothing
881987645172993;Guter Mann! Konsequent und mutig!;nothing
1123638981007857;Lakaien...;nothing
982651445106612;sieht aus, wie z.B. in Frankfurt und überall, wo Antifanten ihre Gewaltspuren ziehen..  hier wird klar, was für eine Spezies sich Einlass verschaffen will.. Ungarn macht alles richtig..unsere Regierung liefert ihr Volk ans Messer... was zutun ist, dürfte klar sein...;nothing
982750811763342;Und diese Primaten sind z.b. pegida-anhänger!!!;nothing
1012239752147781;StrIEzelmarkt! Mit IE, wie Widerstand!;nothing
1111613198877102;Danke Wessi ??;nothing
977073448997745;"Ich verstehe bald gar nichts mehr .. Obwohl die ""Flüchtlinge"" in den östlichen Ländern ""menschenunwürdig"" behandelt werden, sollen sie in diese Länder ? Die bleiben doch sowieso nicht dort, s. Ungarn. Sie bestimmen doch inzwischen selbst, wo sie hin wollen, da braucht sich die Politik nicht den Kopf über ""Quoten"" zu zerbrechen.";criticism
857027574335667;"Ach, macht euch nix vor! :D Ich habe euch lieb, meine Mitbürger! ??

Herr Graf, einige Ihrer Beiträge sind sehr interessant. Sie sind sehr schwer zu durchschauen. Manchmal Pro und manchmal Contra. Chapeau! :D";nothing
977024499002640;Wenn die Essen aus dem Fenster werfen, weil sie nach Germoney wollen. Und die gehen freiwillig in einen Land, wo sie kein Hartz 4 bekommen... in leben nicht!!??;criticism
857558314282593;euch ist sch...egal dass die demo in f blockiert wurde. toll...;nothing
861942773844147;Die Ruhe tat mal gut! Und jetzt mit neuen Elan in Richtung Zukunft.;nothing
1124008607637561;Mit dieser Aussage läßt Lammert die Katze aus dem Sack, so sieht also das vermeintliche Demokratieverständnis unserer Regierenden aus.;criticism
856832004355224;"Warum sollen wir wirtschaftsflüchtlinge bei uns aufnehmen?wir haben genügend Menschen in Deutschland die trotz Arbeit unter der Armutsgrenze leben! 
Da brauch die Regierung sich nicht wundern, warum die Geburtenzahl zurück geht, kann sich doch kaum noch einer leisten";criticism
857308280974263;Außerdem hat Pegida noch andere wichtige Punkte!!!;nothing
856839671021124;Die glauben, sie sind im Auftrag des Herrn unterwegs.;nothing
1111858942185861;https://youtu.be/NwgqVYGxjG8;nothing
1247;Du hurensohn ich hoffe du wird überfahren :*;nothing
857616710943420;Mediatoren werden aber nicht vor einer Anzeige tätig;nothing
1031108383594251;Elsa bahn das musst du mir erklären ,25 jahre durchgefüttert und den wirtschaftsflüchtlingen aus der ddr  ? Wie alt bist du ? Du hast nichts mitbekommen wie es wahr sonst würdest du nicht so einen quatsch schreiben ,bei dir ist die mauer sehr ,sehr hoch !!!;nothing
1064356836936072;Weiter so Sachsen!!!! Die anderen haben keine Eier mehr!!!!;nothing
987963947908695;Man sollte die Asylanten in den Nobelviertel auch da wo unsere Politiker wohnen, unterbringen. Dann haben auch denen ihre Frauen Angst alleine aus dem Haus zu gehen. Warum sind wir Menschen 2. KLASSE ?;criticism
1065262416845514;Da sollen sie erstmal auf der anderen Elbseite suchen. Was da alles zu finden ist. Hie finden die Rumänen Dinge, die hatte noch Niemand verloren.;nothing
856818607689897;Hast schon mit Polizisten privat geredet bzw welche im Freundeskreis??;nothing
856805577691200;Es geht doch hier nicht um Herrn Bachmann,Stefan.Denke nach!!!;nothing
994028997302190;Bitte???????;nothing
1393937784931487744;"@ZentralratJuden Den richtigen Deutschen bleibt nur die Scham über einen schwachen Staat, der derartige ""Gäste"" toleriert. Es besteht Handlungsbedarf! Unbelehrbare sollten aus Deutschland entfernt werden.";nothing
856933227678435;"David Nuhlig - Wenn ein Pferd in einem Kuhstall geboren wird, bleibt es dennoch ein Pferd ;)";nothing
857731297598628;Was habt ihr immer mit eurer Fremdenfeindlichkeit ?? Habt ihr mal eine andere Schallplatte ? Hier gehts um Verbrecher die nicht nach gültigen Gesetz behandelt werden ! Kuscheljustiz pur. Hauptsache es werden laufend Gelder verballert für  den Kampf gegen die aber Millionen Rechtsradikalen in Deutschland ... die Medien sind voll von berichten * Gewalt von Deutschen Rechten die täglich leute ausrauben, vergewaltigen , abstechen und überall ihre Hakenkreuze hinschmieren ... das nervt einfach nur noch ^^ die wahren Probleme werden gar nicht angepackt und sobald wer dieses aufgreift ist ja gleich wieder Rassist , nazi blaaaaa....;criticism
1390703743117762560;@parents4future Dieser herablassende Blick eines Mannes auf eine Frau und dieses herablassende Lachen..... so etwas müsste inzwischen echt ausge-merz-t sein #PLURV  #alteweißemänner #MerzVerhindern;nothing
982907195081037;"Laut ungarischen Medien hat die ungarische Polizei gestern ein IS-Terorist aus dem ""friedlichen Flüchtlinge die versucht haben mit unglaubliche Brutalität und Aggression die Grenzzaun durch zu brechen"" festgenommen! Danke Ungarn das Ihr versucht Europa zuschütten.";nothing
882712148433876;20Jahre passt da nun wirklich nicht;nothing
1065278030177286;Marco Schnik wieso, weil Wahrheit weh tut?;nothing
1064829663555456;wo wird eigentlich in D hochdeutch gesprochen ? ueberhaupt - hochdeutsch - es gibt z bsp kein hochnorwegisch- und von einem hochschwedisch hab ich auch noch nichts gehørt.;nothing
1007244379313985;ach das d von dienen ist natürlich richtig??;nothing
857517210953370;Dann geht dort hin ihr alle pegida Freaks;nothing
1069093859795703;Na von mir ganz bestimmt nicht am 13.März!;nothing
858325314205893;"Please inform yourself about the Pegida people in the streets of Germany marching around singing ""Deutschland Deutschland über alles"" actually in Berlin 2 days ago claiming on FB they ""are no Nazis,just concerned citizens""! And if you need proof watch the stream about the Berlin Pegida 26th january 2015 on YouTube hosted by Russia Today!!";nothing
1105610906143998;Mich macht das ganze nur noch traurig.. Ich kann gar ned sagen was ich fühle wenn ich so was lese..;nothing
856824844355940;loooool Gina :D;nothing
1088556174516138;Da täuschen Sie sich aber gewaltig. Schauen Sie sich lieber mal die Jugend von heute an.;nothing
1056908694347553;Drei Nullen hinter der 127, dann wird ein Schuh draus...;criticism
895543633817394;Zum Glück , also warten wir erst mal ab und lassen Wir uns  überraschen.;nothing
1010184409019982;Anna Feißt Nochmal, ich rede nicht von VERSCHLEIERUNG.;nothing
1390748960868945920;"WHO: ""Dieses Virus hat eine enorme Bewegungsenergie"" Was für ein Bullshit! Das Problem sind Psychos und Arschlöcher und Schlappschwanz-#Politiker, die zu blöd sind, auf #Corona sinnvoll zu reagieren. Ganz einfach. #Coronavirus https://t.co/z3feLIbYoB";agitation
857876894250735;Ja was soll das;nothing
857020547669703;"Liisa Fuchs zeigt's uns jetzt richtig. Achtung. ??

Hilfe..";nothing
1012276122144144;????;nothing
993950290643394;(y) Ich auch nicht.;nothing
882155298489561;Die Stellungnahme von Hern Winfried Stöcker kann man hier übrigens zur Gänze lesen, bevor man drüber urteilt: http://www.pi-news.net/wp/uploads/2015/03/Winfried_Stöcker_Stellungnahme_zur_Asylpolitik.pdf;nothing
982685418436548;Ramon De la Perez, ??????????Realist ??????????wohl eher medienverblödet ????????;nothing
982735131764910;die nächsten Wahlen ? Derzeit wird das neue Auländerwahlrecht zusammengemerkelt.. frisches Wahlvieh für 2017 ... Merkel muss JETZT abtreten.. es mussten schon andere für viel weniger gehen ..;criticism
1013054788732944;auch ein nazi ? LACH;nothing
1390686499851624448;@Karl_Lauterbach @maybritillner Jeden Tag den Dreck vom nazi lauterbach;agitation
882956635076094;Nun wißt Ihr, was Euch beim nächsten Stadtfest erwartet... am besten nur mit Schutzkleidung gehen... tolle Freiheit!;nothing
993568450681578;Verdammt noch mal.Mir ist es scheissegal ob mein Gegenüber aus Syrien,Afghanistan,Russland oder sonstwoher kommt,solange er für Demokratie,Liberalität und Gleichheit eintritt.Dann ist er mein Bruder.Gegen Extremismus egal von welcher Seite!!????;nothing
987842354587521;Da sind sie gut aufgehoben....;nothing
856863797685378;Ihr seid das volk.... Ein Dreck seid ihr.....;nothing
945913015447122;"hätte gerne geschrieben: Komm zu uns, Jenny. Allerdings nimmt es hier auch schon überhand. Gerade saniert man hier 2 leerstehende Hochhäuser für die ""Fachkräfte"". Fassungsvermögen ca. 1000 Personen :(  Und wir haben schon ca. 2500 reingepresst bekommen.";nothing
946046828767074;Sie sind doch selbst eine ausländerin nini!!!!!!!!!!!!!!!;nothing
1123679351003820;warum wird dem deutschen wähler immer noch unterstellt er sei zu dumm und nur die altparteien haben die allmacht des wissens ,volkbefragungen sind demokratie in reinkultur;criticism
857036804334744;Am besten ihr zählt noch die mit, die nicht kommen konnten  :D;nothing
991237914247965;Viel Erfolg  grüße  aus  Neustadt  Holstein;nothing
858067230898368;Ihr solltet lieber gegen Salafisten, Hassprediger, Parralellgellschaften, und ISIS, für Verfolgten Geschändeten sowie abgeschlachteten Weltweit auf die Straße gehen! Ihr seid nur noch beschämend!;nothing
982669581771465;Haha die pegidisten scheissen sich in die Hose weil da ein paar Jugendliche an der Grenze zu Ungarn frei drehen. Oh mann was für jammerlappen diese pegida Spinner;nothing
856752227696535;Wir haben es im Live Stream verfolgt. Macht weiter so;nothing
885320988172992;Wie rotzdumm die Antifafaschisten sind sieht man schon allein daran dass die Geld von jenem Staat annehmen den sie mit Waffengewalt bekämpfen wollen.;nothing
972272596144497;"""...die Polizei ermittelt."" Der war gut...";criticism
857305220974569;Ich bin Herr Schubert nicht Herr Meier werter Herr Schlager. Eine Unterweisung in Sachen Vereinsrecht benötige ich auch nicht ...;nothing
1064983696873386;Du Böser ??;nothing
857459434292481;"DANKE FRANKFURT! 

http://www.faz.net/aktuell/rhein-main/pegida-sagt-schweigemarsch-in-frankfurt-ab-13392033.html

HABT IHR VERSTANDEN! NAZIS SIND KN FRANKFURT UNERWÜNSCHT!";nothing
882711078433983;"Warum sind das eigentlich fast immer ""junge Männer"" die hier her kommen??? Wo sind Frauen und Kinder?!";nothing
1065296160175473;ist ja auch kein wunder, die hälfte der sachsen leben ja woanders;nothing
1107869529251469;Abartig dieses Pack;nothing
1052468598124896;nur komisch, die Linke ist gegen die Merkeln, aber wollen die Pegida zerlegen;criticism
857327214305703;Richtig Ben,im Kalifat Köln sah es vor 30 Jahren auch noch zivilisierter aus.Und darum, wehret den Anfängen!;nothing
857383607633397;Marianka mit allem respekt aber soviel müll wie du hier ablädstvist schon nicht mehr zu ertragen.....sorry;nothing
1108482185856870;Wozu? Wir arbeiten doch für die....;nothing
991253230913100;Ganz ohne gratis Konzert und Geld kommen hier die Leute nicht wie in Wien auf dem komischen Konzert am Wochenende ??;nothing
1398839818491154432;@mcgrontsch @Karl_Lauterbach @Alice_Weidel Auch stimmt, dass Patriot ist für euch Links Grün versiffte natürlich absolut Nazi, richtig? Und nicht am Genexperiment teilzunehmen noch eine Steigerung von Nazi? Offenbar hast du es mit selbstständig denken nicht so.;agitation
1105399046165184;Das muß verhindert werden:Volksabstimmung!;criticism
882699835101774;Na ohne Tourismus kommen ja noch mehr....;nothing
1123534784351610;Donnerwetter, der Herr Lammert respektiert einen in einem anderen Land frei gewählten Präsidenten.;nothing
1039732869398469;Alte deutsche Weisheit: Von wem wirst du verraten, von Sozialdemokraten.;criticism
895539243817833;"Bastian Sylvester Es kommt auch vor  das sogenannte V Leute in Auftrag gehandelt haben , besonders wenn man damit etwas erreichen will.
                                Es ist bloß eigenartig das überhaupt noch nichts ermittelt wurde.Ich habe schon Schweiz kotzen gesehen";nothing
1065896900115399;Michael Grimm  ja die hässliche Fratze! Warum sehen das so wenige Mensche? Denen im Westen ging es doch nur gut ,weil es uns gab. Die ganzen Konsumgüter die wir zusätzlich in den Kombinaten produziert haben für den Westen. Wir 16 Millionen Einwohner waren tüchtige Arbeiter, mit dem bisschen was wir hatten! Ich will das System von Damals nicht preisen, denn so ging es auch nicht weiter! Jedoch was jetzt abgeht ist der schiere Wahnsinn!;criticism
960908547280902;nun der Deutsche läßt sich ja einiges bieten,die Neubürger sind nicht so pflegeleicht,das ist sicher;nothing
1385202968291643392;BRD Diktatur im Netz und nun auch aggressiv und brutal gegen freie Bürger❗Die sind aktuell genauso wahnsinnig wie die Nazis 1933❗Eine Schande für jeden in der BRD der in Geschichte aufgepasst hat❗😢🤮 https://t.co/uw5CIRa0XV;nothing
862797160425375;Kommt doch sowieso kaum noch einer.....hohle Phrasen und Weltuntergangs- und Verschwörungstheorien verlieren irgendwann ihre Anziehungskraft, je mehr die echte häßliche rechte Fratze zum Vorschein kommt.;nothing
856861137685644;Ihr werdet ja auch immer weniger;nothing
1010771885627901;Genau so ist es! Viele meiner Altersgenossen (24 J.) interessieren sich überhaupt nicht für Politik und ihre eigene Zukunft, gehen lieber feiern und saufen oder sind absolut naiv in der linken Propaganda gefangen und tanzen im Kreis und verschenken Kuchen an die Invasoren. -_-;nothing
855015591203532;https://www.youtube.com/watch?v=vdWYf4A60zs;nothing
856749567696801;jetzt wird mutti langsam der hübsche mantel flattern;nothing
987837814587975;Kooperieren ja nun wohl doch ..;nothing
1096336337071455;Also wer's jetzt immer noch nicht gecheckt hat...;nothing
1053150598056696;Bravo!;nothing
960864857285271;Komisch.Fast die ganze Welt merkt was verkehrt läuft bei der Asyldebatte.Nur unsere eigene Regierung nicht.Wenn nicht bald reagiert wird kann keiner mehr die Situation im Griff behalten.Glaube kaum noch an einen Rückhalt in der Bevölkerung. Im Gegenteil!!????;criticism
857861070918984;Hier die Oma ist bekennende PEGIDA-Anhängerin - ihr habt wirklich einen an der Klatsche labbert nur Schwachsinn https://www.youtube.com/watch?app=desktop&persist_app=1&v=qDlwi0Bxjhs;nothing
985472741491149;Bärbel, ich spreche fließend Altgermanisch. Wenn du magst können wir mal ein Methorn zusammen trinken, dann zeig ich dir wie weit ich Baumstämme werfen kann.;nothing
1038620316176391;#RapeFuzees GetOut from Europe !;nothing
857781404260284;Beantworte doch einfach meine Frage Mark. Hast DU ein Problem damit, das ICH (Deutscher Staatsbürger) ein Muslim bin?;nothing
856951331009958;die wenigsten haben nicht verstanden, dass ich mit meiner Berechnung einfach mal die Quadratmeter beider Veranstaltungen ermittelt habe und die von den Medien verbreiteten Teilnehmerzahlen der eine Veranstaltung (Tillich und Orosz) - auf die Veranstaltung der Pegida vom 25.01. projiziert habe !;nothing
856826817689076;Selahattin, gern geschehen. Mit dem Unterschied, dass es im islamischen Kulturkreis 100 fach häufiger vorkommt. ALLE Kriminalitätsstatistiken beweisen das eindeutig. Aber rede das nur weiter klein. Al sgäbe es keine Ehrenmorde. Den Fall von 2013 hat man schnell rausgeholt. Solche Fälle passieren bei Migranten aus dem Kulturkreis allerdings MONATLICH!;nothing
987838997921190;Ja warum eine Anfrage, einfach besetzen, wie auch anderst wo !!!!;nothing
985475088157581;Ich bin jedes Jahr dort  und kann dann ja mal einen Vergleich ziehen. Heute gehe ich von  ca. 20.000 Teilnehmern aus. War selbst vor Ort. Es war wieder unglaublich!;nothing
977027702335653;https://www.facebook.com/noszkurwamac/videos/10156446888640206/ So ist in Ungarische Bahnhof;nothing
856309321074159;Prima. Endlich mal einer, der verstanden hat, worum es Pegida geht. Um Frieden, Freiheit, Toleranz und Weltoffenheit. Gegen Gewalt, Terror, Nazis, Radikale, religiösen Fanatismus, Glaubenskriege, Islamismus und Salfismus. Für ein weltoffenes Deutschland, in dem alle Menschen willkommen sind, die das Grundgesetz und den deutschen Rechtsstaat achten. Vorwärts Freiheit, Vorwärts Pegida.;nothing
1035113196527103;wir wollen keine zustände wie in köln es müssen noch mehr werden DIE AUF DIE STRASSE GEHEN !!!!;nothing
994161907288899;"Das ""BITTE"" im Text könntet ihr euch sparen. Ist doch ne' Ansage.";criticism
982725731765850;Schwarze Weise und knacken sind die neue deutsche Einheit [@IND] la Perez thumbs up lass dich nicht unterkriegen;nothing
1095983107106778;Wenn denen was nicht passt. Unsere Fürsten werden sich noch wundern was sie hier reingelassen haben. Der Deutsche ist zu bequem auf die Strasse zu gehen, aber die ... Halleluja. Viel Spass;criticism
1064993556872400;Da hast du vollkommen recht,ich suche und suche nur un einmal ein Gutmensch zu sein,aber ich finde einfach nichts;nothing
857052680999823;für PEGIDA;nothing
882795248425566;Flüchtling aus Marokko? Ja ist dort auch schon Krieg? Ist ja seltsam.;nothing
854995304538894;Das gibt doch Hoffnung, das es weiter geht. Pro PEGIDA;nothing
882681295103628;Dann hast du die Ironie wohl leider nicht verstanden.;nothing
857329974305427;Islamisierung wie sie leibt und lebt http://www.welt.de/politik/ausland/article136755744/Das-Leichentuch-ist-zu-Erdogans-Symbol-geworden.html;nothing
857328120972279;http://www.schleckysilberstein.com/wp-content/uploads/2015/01/Bildschirmfoto-2015-01-26-um-14.56.45.jpg;nothing
1065211256850630;"Natürlich kann er die Gitarre tatsächlich gefunden haben.Niemand bestreitet,dass es ehrliche Flüchtlinge gibt,ABER es wird von der Presse zu sehr betont!Immer wenn einer von denen was Wertvolles findet und wieder abgibt,geht das durch die Medien,quasi als Beruhigungspille “Guckt mal,die sind eigentlich alle ganz lieb“.Ist aber nicht so,sind wir auch nicht.Wenn ein Deutscher sowas findet wird kein solches Fass aufgemacht,und dass man Gefundenes zurück gibt,sollte eh selbstverständlich sein.Und ja,mich wundert auch,wieviel wertvollen Kram oder Geld die Menschen seit einiger Zeit verlegen.Zufällig findet es dann meist ein Flüchtling und gibts wieder ab.Ein Schelm,wer Böses dabei denkt ;-)";nothing
1013560268682396;Nochmals - wenn sie hierherkommen, dann haben sie sich den HIESIGEN Gegebenheiten BEDINGUNGSLOS unterzuordnen - wie das IN JEDEM LAND dieser Welt üblich ist! Wem das nicht schmeckt, dem steht es frei, nach Hause zu fahren!;nothing
1065028950202194;Wie geil ??????;nothing
1537;heil hitler du nuttensohn;nothing
951976711507419;Das CSU Politiker nicht mehr ernst zu nehmen sind geht schon seit dem Tode von Strauß. Seine Nachvolker ist was für die Tonne , und das mittlerweile aufkeimende Gutmenschen Gelaber geht überhaupt nicht. Da haben die Rot-Grünen ganze Arbeit geleistet. Es fehlt nur noch eine muslimische Partei dann kann Bayern voll und ganz vergessen werden. Wo ist der Stolz der Bayern hin???;criticism
855040827867675;Michael Böhm und Kath Billa, erklär mir doch bitte was diese Missstände mit den Moslems zu tun haben?;nothing
1010261049012318;"Nur mal am Rande zum Thema ""fachkräftemangel"" , würde der Staat besser Haushalten und Gelder vernünftig in unsere Arbeitslosen investieren, heißt, sie in die Richtung aus-und weiterbilden wo es in diesem Land fehlt, wären wir nicht auf ausländische ""Fachkräfte"" angewiesen! !!! Und da ja so gerne an dieser Stelle das Kommentar kommt: unsere Arbeitslosen sind doch nur faules pack, die wollen doch garnicht arbeiten. ..... ja die gibt es durchaus. . Und auch da muss der Staat besser Haushalten, mit Sanktionen an richtiger stelle! !!!! Denn die schwarzen Schafe unserer Gesellschaft mogeln sich immer wieder durch! ! Sanktionen gibt es meist nur bei denen die eigentlich arbeiten wollen! !!!!! 
Ach. .....aber auch DAS ist natürlich alles nicht wahr, und ich hab einfach nur einen an der klatsche! !!! 
Christine Spielmann , ich verstehe ihre Angst!  Die hab ich auch! !! 
Solln se sich doch alles noch weiter schön reden. ..... ändern werden wir das nicht, leider. ..erst wenns auch hier ordentlich knallt! !!";criticism
1010295865675503;Montagsdemo Greifswald https://www.youtube.com/watch?v=IAJzywYQ85g;nothing
987824107922679;Haben die schon so oft getan. Zum kotzen wie alles kaputt gemacht wird.;nothing
1058089094229513;Ein gutes Herz für Menschen zu haben und Angst um seine Familie und sein Land schließt sich nicht aus.Beides gleichzeitig ist immer noch vorhanden,nur irgendwann ist der Selbstschutz größer.;nothing
876793499025741;Aber erst dann, wenn die ersten Zugewanderten in den Eigenheimsiedlungen an den Stadträndern deutscher Großstädte auftauchen und nach Manier der Habenichtse vorgehen....;nothing
982738771764546;Na wartet nur mal alle ab wie die sich benehmen wen sie in Deutschland sind und es nicht so geht wie sie es gerne hätten;nothing
856763434362081;Ohne demokratische Legitimation? Sag mal, ist 17.00 nicht ein bisschen zu früh für einen Vollrausch?;nothing
856958377675920;Sehr gut geschrieben,Danke;nothing
856803341024757;"Viele Menschen haben auch Angst auf Demos zugehen aufgrund von Ausschreitungen seitens der Gutmenschen. Hinzu kommt die Terrorgefahr von der Vorwoche. Kein Wunder wenn es dieses mal weniger waren. Wenn 20000 in dresden sind, dann rechnet das mal auf die Bevölkerung hoch wenn in jeder Stadt eine Demo wäre. 

Viele Menschen sind zu bequem und fahren nicht weit bis zur Demo.

Würde es mal eine ehrliche Volksbefragung geben so hätte Pegida eine seeehr große Anzahl an Befürwortern.";nothing
858318314206593;"Na da hat er es aber gut das er die Deutschen so gern hat und dass nicht seine Vorfahren hier von Deutschen ausgerottet worden sind... Aber vielleicht sind gerade die Muslime Deutschlands ""neue Juden""???....";nothing
1105433882828367;Es wird eine Moschee mit viel Löchern werden. :-);nothing
1082403395131416;"Begib dich mal auf die Reise.
Du bist ja der größte Affe.";nothing
1190;Blut und Ehre! Juden verreckt! Wir werden unsere Rasse reinen!;agitation
857865200918571;Ausserdem wurde dieser Begriff schon oft in drr deutschen Geschichte benutzt, schon vor den Nazis und auch in der DDR.;nothing
1152538804784541;Ich habe selber im Heim gearbeitet und ich hatte mehrere Kollegen aus dem Ostblock, ich hatte keine Probleme mit meinen Kollegen, aber einige Bewohner hatten allein wegen der Aussprache Probleme;nothing
894912330547191;Da haste recht. Ist eine Frage des gesunden Menschenverstands, was man im Leben macht und der hat mit einem Studium nicht zwangsläufig was zu tun.;nothing
1113867995318289;Schobbe Schorch Und lerne erst mal Deutsch!;nothing
968059809899109;Bei PI news gefunden:   Den Schweden reichts mit den Blockparteien:;nothing
858045784233846;Die befinden sich scheinbar schon im Karneval;nothing
857864267585331;Viele Poster hier tun ihr übriges, und niemand hindert sie daran. Also WOLLT Ihr rechts SEIN ?;nothing
857421057629652;"hey mine; nur 1 freund auf fb. jetzt weiß ich warum.  und übrigens, ich bin auch stolz auf die Sachsen und auf den rest von Deutschland.";nothing
856978007673957;Eddie, Goldfische sind einfach goldig.;nothing
982809428424147;http://www.welt.de/politik/ausland/article146497225/Am-Ende-werden-die-Muslime-mehr-sein-als-wir.html;nothing
